,date,epsActual,epsEstimated,eps_surprise,ticker
87,2004-07-29,0.88,0.88,0.0,XOM
86,2004-10-28,0.96,0.87,0.08999999999999997,XOM
85,2005-01-31,1.3,1.07,0.22999999999999998,XOM
84,2005-04-28,1.15,1.2,-0.050000000000000044,XOM
83,2005-07-28,1.23,1.24,-0.010000000000000009,XOM
82,2005-10-27,1.32,1.38,-0.05999999999999983,XOM
81,2006-01-30,1.65,1.44,0.20999999999999996,XOM
80,2006-04-27,1.37,1.47,-0.09999999999999987,XOM
79,2006-07-27,1.72,1.64,0.08000000000000007,XOM
78,2006-10-26,1.77,1.59,0.17999999999999994,XOM
77,2007-02-01,1.69,1.51,0.17999999999999994,XOM
76,2007-04-26,1.62,1.52,0.10000000000000009,XOM
75,2007-07-26,1.83,1.96,-0.1299999999999999,XOM
74,2007-11-01,1.7,1.75,-0.050000000000000044,XOM
73,2008-02-01,2.13,1.95,0.17999999999999994,XOM
72,2008-05-01,2.03,2.14,-0.11000000000000032,XOM
71,2008-07-31,2.27,2.52,-0.25,XOM
70,2008-10-30,2.59,2.38,0.20999999999999996,XOM
69,2009-01-30,1.55,1.45,0.10000000000000009,XOM
68,2009-04-30,0.92,0.95,-0.029999999999999916,XOM
67,2009-07-30,0.84,1.02,-0.18000000000000005,XOM
66,2009-10-29,0.98,1.03,-0.050000000000000044,XOM
65,2010-02-01,1.27,1.19,0.08000000000000007,XOM
64,2010-04-29,1.33,1.41,-0.07999999999999985,XOM
63,2010-07-29,1.6,1.46,0.14000000000000012,XOM
62,2010-10-28,1.44,1.39,0.050000000000000044,XOM
61,2011-01-31,1.85,1.63,0.2200000000000002,XOM
60,2011-04-28,2.14,2.08,0.06000000000000005,XOM
59,2011-07-28,2.18,2.32,-0.13999999999999968,XOM
58,2011-10-27,2.13,2.12,0.009999999999999787,XOM
57,2012-01-31,1.97,1.96,0.010000000000000009,XOM
56,2012-04-26,2.0,2.09,-0.08999999999999986,XOM
55,2012-07-26,1.8,1.95,-0.1499999999999999,XOM
54,2012-11-01,2.09,1.95,0.1399999999999999,XOM
53,2013-02-01,2.2,2.0,0.20000000000000018,XOM
52,2013-04-25,2.12,2.05,0.07000000000000028,XOM
51,2013-08-01,1.55,1.9,-0.34999999999999987,XOM
50,2013-10-31,1.79,1.77,0.020000000000000018,XOM
49,2014-01-30,1.91,1.92,-0.010000000000000009,XOM
